# Time	E	I	Z
6.562999999999999545e+01 9.999999999529731731e-01 9.999996514883850995e-01 9.999990933877342947e-01
6.563500000000000512e+01 9.999999999529477490e-01 9.999996513749818128e-01 9.999990931908181446e-01
6.564000000000000057e+01 9.999999999529223249e-01 9.999996512616138311e-01 9.999990929939831519e-01
6.564499999999999602e+01 9.999999999528969008e-01 9.999996511482813766e-01 9.999990927972296495e-01
6.565000000000000568e+01 9.999999999528714767e-01 9.999996510349845602e-01 9.999990926005580816e-01
6.565500000000000114e+01 9.999999999528460526e-01 9.999996509217237151e-01 9.999990924039687812e-01
6.565999999999999659e+01 9.999999999528206285e-01 9.999996508084990632e-01 9.999990922074621924e-01
6.566500000000000625e+01 9.999999999527952044e-01 9.999996506953108266e-01 9.999990920110385373e-01
6.567000000000000171e+01 9.999999999527697803e-01 9.999996505821592274e-01 9.999990918146983709e-01
6.567499999999999716e+01 9.999999999527443562e-01 9.999996504690444876e-01 9.999990916184419154e-01
6.568000000000000682e+01 9.999999999527189321e-01 9.999996503559669403e-01 9.999990914222696148e-01
6.568500000000000227e+01 9.999999999526935079e-01 9.999996502429266965e-01 9.999990912261819132e-01
6.568999999999999773e+01 9.999999999526680838e-01 9.999996501299240892e-01 9.999990910301790326e-01
6.569500000000000739e+01 9.999999999526426597e-01 9.999996500169593405e-01 9.999990908342615281e-01
6.570000000000000284e+01 9.999999999526172356e-01 9.999996499040325615e-01 9.999990906384296219e-01
6.570499999999999829e+01 9.999999999525918115e-01 9.999996497911440851e-01 9.999990904426837579e-01
6.571000000000000796e+01 9.999999999525663874e-01 9.999996496782941335e-01 9.999990902470242693e-01
6.571500000000000341e+01 9.999999999525409633e-01 9.999996495654830397e-01 9.999990900514516001e-01
6.571999999999999886e+01 9.999999999525155392e-01 9.999996494527109148e-01 9.999990898559660835e-01
6.572499999999999432e+01 9.999999999524901151e-01 9.999996493399779807e-01 9.999990896605681634e-01
6.573000000000000398e+01 9.999999999524646910e-01 9.999996492272845705e-01 9.999990894652581730e-01
6.573499999999999943e+01 9.999999999524393779e-01 9.999996491146307953e-01 9.999990892700364453e-01
6.573999999999999488e+01 9.999999999524140648e-01 9.999996490020169881e-01 9.999990890749034245e-01
6.574500000000000455e+01 9.999999999523887517e-01 9.999996488894433710e-01 9.999990888798594435e-01
6.575000000000000000e+01 9.999999999523634386e-01 9.999996487769101661e-01 9.999990886849049465e-01
6.575499999999999545e+01 9.999999999523381256e-01 9.999996486644175953e-01 9.999990884900402666e-01
6.576000000000000512e+01 9.999999999523128125e-01 9.999996485519658806e-01 9.999990882952657367e-01
6.576500000000000057e+01 9.999999999522874994e-01 9.999996484395553553e-01 9.999990881005818011e-01
6.576999999999999602e+01 9.999999999522621863e-01 9.999996483271861303e-01 9.999990879059887927e-01
6.577500000000000568e+01 9.999999999522368732e-01 9.999996482148585386e-01 9.999990877114870447e-01
6.578000000000000114e+01 9.999999999522115601e-01 9.999996481025726913e-01 9.999990875170770011e-01
6.578499999999999659e+01 9.999999999521862470e-01 9.999996479903289215e-01 9.999990873227591059e-01
6.579000000000000625e+01 9.999999999521609340e-01 9.999996478781274512e-01 9.999990871285336924e-01
6.579500000000000171e+01 9.999999999521356209e-01 9.999996477659685024e-01 9.999990869344010935e-01
6.579999999999999716e+01 9.999999999521103078e-01 9.999996476538524082e-01 9.999990867403616424e-01
6.580500000000000682e+01 9.999999999520849947e-01 9.999996475417792796e-01 9.999990865464157830e-01
6.581000000000000227e+01 9.999999999520596816e-01 9.999996474297493387e-01 9.999990863525639595e-01
6.581499999999999773e+01 9.999999999520343685e-01 9.999996473177629186e-01 9.999990861588063940e-01
6.582000000000000739e+01 9.999999999520090554e-01 9.999996472058202412e-01 9.999990859651435304e-01
6.582500000000000284e+01 9.999999999519837424e-01 9.999996470939215287e-01 9.999990857715758130e-01
6.582999999999999829e+01 9.999999999519584293e-01 9.999996469820670031e-01 9.999990855781035748e-01
6.583500000000000796e+01 9.999999999519331162e-01 9.999996468702568864e-01 9.999990853847271488e-01
6.584000000000000341e+01 9.999999999519078031e-01 9.999996467584914006e-01 9.999990851914469792e-01
6.584499999999999886e+01 9.999999999518824900e-01 9.999996466467708789e-01 9.999990849982633989e-01
6.584999999999999432e+01 9.999999999518571769e-01 9.999996465350954322e-01 9.999990848051768522e-01
6.585500000000000398e+01 9.999999999518318639e-01 9.999996464234653937e-01 9.999990846121876720e-01
6.585999999999999943e+01 9.999999999518066618e-01 9.999996463118809853e-01 9.999990844192961914e-01
6.586499999999999488e+01 9.999999999517814597e-01 9.999996462003424291e-01 9.999990842265028546e-01
6.587000000000000455e+01 9.999999999517562577e-01 9.999996460888499472e-01 9.999990840338079945e-01
6.587500000000000000e+01 9.999999999517310556e-01 9.999996459774037616e-01 9.999990838412119443e-01
6.587999999999999545e+01 9.999999999517058535e-01 9.999996458660040943e-01 9.999990836487151480e-01
6.588500000000000512e+01 9.999999999516806515e-01 9.999996457546512785e-01 9.999990834563180497e-01
6.589000000000000057e+01 9.999999999516554494e-01 9.999996456433455361e-01 9.999990832640208716e-01
6.589499999999999602e+01 9.999999999516302474e-01 9.999996455320870892e-01 9.999990830718241686e-01
6.590000000000000568e+01 9.999999999516050453e-01 9.999996454208760488e-01 9.999990828797281628e-01
6.590500000000000114e+01 9.999999999515798432e-01 9.999996453097128590e-01 9.999990826877332983e-01
6.590999999999999659e+01 9.999999999515546412e-01 9.999996451985976309e-01 9.999990824958399083e-01
6.591500000000000625e+01 9.999999999515294391e-01 9.999996450875305865e-01 9.999990823040484367e-01
6.592000000000000171e+01 9.999999999515042370e-01 9.999996449765120587e-01 9.999990821123592166e-01
6.592499999999999716e+01 9.999999999514790350e-01 9.999996448655421588e-01 9.999990819207726922e-01
6.593000000000000682e+01 9.999999999514538329e-01 9.999996447546212197e-01 9.999990817292891965e-01
6.593500000000000227e+01 9.999999999514286309e-01 9.999996446437494635e-01 9.999990815379090625e-01
6.593999999999999773e+01 9.999999999514034288e-01 9.999996445329271122e-01 9.999990813466327344e-01
6.594500000000000739e+01 9.999999999513782267e-01 9.999996444221544989e-01 9.999990811554605452e-01
6.595000000000000284e+01 9.999999999513531357e-01 9.999996443114317346e-01 9.999990809643929390e-01
6.595499999999999829e+01 9.999999999513280446e-01 9.999996442007591524e-01 9.999990807734302489e-01
6.596000000000000796e+01 9.999999999513029536e-01 9.999996440901368633e-01 9.999990805825728080e-01
6.596500000000000341e+01 9.999999999512778626e-01 9.999996439795652003e-01 9.999990803918210602e-01
6.596999999999999886e+01 9.999999999512527715e-01 9.999996438690443856e-01 9.999990802011753388e-01
6.597499999999999432e+01 9.999999999512276805e-01 9.999996437585746412e-01 9.999990800106359767e-01
6.598000000000000398e+01 9.999999999512025894e-01 9.999996436481563000e-01 9.999990798202034181e-01
6.598499999999999943e+01 9.999999999511774984e-01 9.999996435377894732e-01 9.999990796298779960e-01
6.598999999999999488e+01 9.999999999511524074e-01 9.999996434274744939e-01 9.999990794396601546e-01
6.599500000000000455e+01 9.999999999511273163e-01 9.999996433172114729e-01 9.999990792495502268e-01
6.600000000000000000e+01 9.999999999511022253e-01 9.999996432070007435e-01 9.999990790595486567e-01
6.600499999999999545e+01 9.999999999510771342e-01 9.999996430968425276e-01 9.999990788696557775e-01
6.601000000000000512e+01 9.999999999510520432e-01 9.999996429867371583e-01 9.999990786798719222e-01
6.601500000000000057e+01 9.999999999510269522e-01 9.999996428766847467e-01 9.999990784901975349e-01
6.601999999999999602e+01 9.999999999510018611e-01 9.999996427666856258e-01 9.999990783006329487e-01
6.602500000000000568e+01 9.999999999509767701e-01 9.999996426567399066e-01 9.999990781111784965e-01
6.603000000000000114e+01 9.999999999509517901e-01 9.999996425468479222e-01 9.999990779218346226e-01
6.603499999999999659e+01 9.999999999509268100e-01 9.999996424370098946e-01 9.999990777326016600e-01
6.604000000000000625e+01 9.999999999509018300e-01 9.999996423272260460e-01 9.999990775434800527e-01
6.604500000000000171e+01 9.999999999508768500e-01 9.999996422174967092e-01 9.999990773544701339e-01
6.604999999999999716e+01 9.999999999508518700e-01 9.999996421078219955e-01 9.999990771655722366e-01
6.605500000000000682e+01 9.999999999508268900e-01 9.999996419982022378e-01 9.999990769767868048e-01
6.606000000000000227e+01 9.999999999508019100e-01 9.999996418886375471e-01 9.999990767881142828e-01
6.606499999999999773e+01 9.999999999507769299e-01 9.999996417791282566e-01 9.999990765995548925e-01
6.607000000000000739e+01 9.999999999507519499e-01 9.999996416696745882e-01 9.999990764111090780e-01
6.607500000000000284e+01 9.999999999507269699e-01 9.999996415602768751e-01 9.999990762227772834e-01
6.607999999999999829e+01 9.999999999507019899e-01 9.999996414509352283e-01 9.999990760345597307e-01
6.608500000000000796e+01 9.999999999506770099e-01 9.999996413416499808e-01 9.999990758464569751e-01
6.609000000000000341e+01 9.999999999506520298e-01 9.999996412324212436e-01 9.999990756584692386e-01
6.609499999999999886e+01 9.999999999506270498e-01 9.999996411232493498e-01 9.999990754705969653e-01
6.609999999999999432e+01 9.999999999506021808e-01 9.999996410141345216e-01 9.999990752828404883e-01
6.610500000000000398e+01 9.999999999505773118e-01 9.999996409050770918e-01 9.999990750952002516e-01
6.610999999999999943e+01 9.999999999505524428e-01 9.999996407960771716e-01 9.999990749076765884e-01
6.611499999999999488e+01 9.999999999505275738e-01 9.999996406871349830e-01 9.999990747202699426e-01
6.612000000000000455e+01 9.999999999505027048e-01 9.999996405782508591e-01 9.999990745329806474e-01
6.612500000000000000e+01 9.999999999504778359e-01 9.999996404694250218e-01 9.999990743458090359e-01
6.612999999999999545e+01 9.999999999504529669e-01 9.999996403606576933e-01 9.999990741587555521e-01
6.613500000000000512e+01 9.999999999504280979e-01 9.999996402519490957e-01 9.999990739718205290e-01
6.614000000000000057e+01 9.999999999504032289e-01 9.999996401432995619e-01 9.999990737850042999e-01
6.614499999999999602e+01 9.999999999503783599e-01 9.999996400347092029e-01 9.999990735983073087e-01
6.615000000000000568e+01 9.999999999503534909e-01 9.999996399261783520e-01 9.999990734117298885e-01
6.615500000000000114e+01 9.999999999503286219e-01 9.999996398177072310e-01 9.999990732252724834e-01
6.615999999999999659e+01 9.999999999503037529e-01 9.999996397092960621e-01 9.999990730389354265e-01
6.616500000000000625e+01 9.999999999502789949e-01 9.999996396009450672e-01 9.999990728527190509e-01
6.617000000000000171e+01 9.999999999502542369e-01 9.999996394926544685e-01 9.999990726666238006e-01
6.617499999999999716e+01 9.999999999502294790e-01 9.999996393844244880e-01 9.999990724806500086e-01
